#bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
744	chr1	20935285	20935502	CpG: 15	217	15	133	13.8	61.3	0.78
744	chr1	20951662	20951890	CpG: 20	228	20	151	17.5	66.2	0.81
745	chr1	21078869	21079694	CpG: 72	825	72	515	17.5	62.4	0.91
752	chr1	21961003	21962124	CpG: 99	1121	99	687	17.7	61.3	0.94
756	chr1	22533177	22534185	CpG: 104	1008	104	642	20.6	63.7	1.02
758	chr1	22805682	22806364	CpG: 62	682	62	432	18.2	63.3	0.91
761	chr1	23101887	23102262	CpG: 27	375	27	229	14.4	61.1	0.77
762	chr1	23256018	23257054	CpG: 114	1036	114	643	22	62.1	1.17
763	chr1	23382681	23383400	CpG: 83	719	83	479	23.1	66.6	1.04
766	chr1	23761822	23763204	CpG: 131	1382	131	930	19	67.3	0.85
767	chr1	23921719	23922554	CpG: 76	835	76	469	18.2	56.2	1.15
768	chr1	24005371	24005714	CpG: 38	343	38	222	22.2	64.7	1.06
768	chr1	24099641	24100556	CpG: 108	915	108	613	23.6	67	1.05
772	chr1	24586521	24587177	CpG: 71	656	71	432	21.6	65.9	1.01
773	chr1	24678516	24679083	CpG: 54	567	54	371	19	65.4	0.89
782	chr1	25829845	25830680	CpG: 75	835	75	485	18	58.1	1.08
820	chr1	30873108	30874026	CpG: 137	918	137	669	29.8	72.9	1.13
821	chr1	30948826	30950216	CpG: 145	1390	145	828	20.9	59.6	1.18
830	chr1	32172540	32173046	CpG: 50	506	50	346	19.8	68.4	0.85
841	chr1	33669553	33670569	CpG: 73	1016	73	548	14.4	53.9	0.99
842	chr1	33719825	33720450	CpG: 91	625	91	455	29.1	72.8	1.12
842	chr1	33757611	33757949	CpG: 44	338	44	257	26	76	0.9
842	chr1	33814130	33814690	CpG: 62	560	62	374	22.1	66.8	1
843	chr1	33906988	33907242	CpG: 20	254	20	147	15.7	57.9	0.94
843	chr1	33907457	33907693	CpG: 20	236	20	165	16.9	69.9	0.71
843	chr1	33907902	33908106	CpG: 31	204	31	160	30.4	78.4	0.99
843	chr1	33908265	33908468	CpG: 16	203	16	117	15.8	57.6	0.97
844	chr1	34006046	34006248	CpG: 18	202	18	116	17.8	57.4	1.1
844	chr1	34011484	34011861	CpG: 52	377	52	300	27.6	79.6	0.87
845	chr1	34177942	34178193	CpG: 25	251	25	161	19.9	64.1	1.04
847	chr1	34439241	34440138	CpG: 64	897	64	525	14.3	58.5	0.83
847	chr1	34459407	34459964	CpG: 43	557	43	352	15.4	63.2	0.77
848	chr1	34472754	34472966	CpG: 19	212	19	132	17.9	62.3	0.93
848	chr1	34579529	34579840	CpG: 42	311	42	235	27	75.6	0.95
849	chr1	34678070	34678419	CpG: 37	349	37	239	21.2	68.5	0.93
850	chr1	34750258	34751085	CpG: 81	827	81	521	19.6	63	0.99
850	chr1	34801701	34802059	CpG: 40	358	40	258	22.3	72.1	0.86
850	chr1	34842534	34843165	CpG: 71	631	71	354	22.5	56.1	1.44
850	chr1	34849895	34850178	CpG: 33	283	33	203	23.3	71.7	0.92
851	chr1	34930034	34930639	CpG: 47	605	47	374	15.5	61.8	0.82
860	chr1	36068460	36069216	CpG: 81	756	81	462	21.4	61.1	1.15
860	chr1	36103537	36104186	CpG: 46	649	46	397	14.2	61.2	0.76
861	chr1	36243891	36244412	CpG: 53	521	53	349	20.3	67	0.92
861	chr1	36269231	36269697	CpG: 48	466	48	313	20.6	67.2	0.92
862	chr1	36307616	36308213	CpG: 61	597	61	400	20.4	67	0.91
862	chr1	36368684	36369330	CpG: 74	646	74	395	22.9	61.1	1.25
863	chr1	36444875	36445308	CpG: 44	433	44	304	20.3	70.2	0.85
863	chr1	36471266	36472155	CpG: 72	889	72	475	16.2	53.4	1.14
863	chr1	36511763	36513006	CpG: 128	1243	128	766	20.6	61.6	1.09
863	chr1	36546910	36547290	CpG: 38	380	38	255	20	67.1	0.91
863	chr1	36556807	36558424	CpG: 139	1617	139	1087	17.2	67.2	0.76
864	chr1	36683084	36683438	CpG: 32	354	32	222	18.1	62.7	0.92
864	chr1	36691322	36691869	CpG: 58	547	58	364	21.2	66.5	0.96
865	chr1	36709621	36710148	CpG: 50	527	50	363	19	68.9	0.8
865	chr1	36770808	36771193	CpG: 44	385	44	260	22.9	67.5	1.01
865	chr1	36779084	36779320	CpG: 18	236	18	136	15.3	57.6	0.92
866	chr1	36938841	36940122	CpG: 154	1281	154	889	24	69.4	1
867	chr1	37029247	37029486	CpG: 17	239	17	158	14.2	66.1	0.65
869	chr1	37299840	37300507	CpG: 62	667	62	381	18.6	57.1	1.17
870	chr1	37429777	37430415	CpG: 67	638	67	437	21	68.5	0.9
871	chr1	37540315	37540920	CpG: 56	605	56	361	18.5	59.7	1.05
872	chr1	37719313	37720128	CpG: 88	815	88	536	21.6	65.8	1
873	chr1	37864612	37865324	CpG: 78	712	78	446	21.9	62.6	1.15
873	chr1	37875331	37875824	CpG: 32	493	32	261	13	52.9	0.93
874	chr1	37890362	37890782	CpG: 38	420	38	237	18.1	56.4	1.14
874	chr1	37996946	37997459	CpG: 41	513	41	311	16	60.6	0.87
874	chr1	37997823	37998675	CpG: 101	852	101	612	23.7	71.8	0.94
875	chr1	38129048	38130208	CpG: 167	1160	167	802	28.8	69.1	1.21
876	chr1	38210065	38210345	CpG: 26	280	26	202	18.6	72.1	0.72
879	chr1	38626793	38628084	CpG: 94	1291	94	666	14.6	51.6	1.1
881	chr1	38835801	38836776	CpG: 131	975	131	701	26.9	71.9	1.04
881	chr1	38897864	38898202	CpG: 46	338	46	256	27.2	75.7	0.95
882	chr1	38987499	38988052	CpG: 47	553	47	370	17	66.9	0.76
884	chr1	39193418	39194435	CpG: 103	1017	103	629	20.3	61.8	1.07
885	chr1	39367434	39368617	CpG: 100	1183	100	705	16.9	59.6	0.95
886	chr1	39478123	39478997	CpG: 81	874	81	563	18.5	64.4	0.9
886	chr1	39535587	39536365	CpG: 98	778	98	548	25.2	70.4	1.02
886	chr1	39576525	39577527	CpG: 100	1002	100	614	20	61.3	1.07
887	chr1	39650441	39651282	CpG: 76	841	76	568	18.1	67.5	0.79
889	chr1	39900472	39901459	CpG: 127	987	127	642	25.7	65	1.22
892	chr1	40266556	40266876	CpG: 30	320	30	227	18.8	70.9	0.75
892	chr1	40325809	40326019	CpG: 17	210	17	138	16.2	65.7	0.76
895	chr1	40681006	40682084	CpG: 111	1078	111	748	20.6	69.4	0.86
896	chr1	40790518	40790811	CpG: 28	293	28	198	19.1	67.6	0.84
909	chr1	42491684	42491938	CpG: 26	254	26	166	20.5	65.4	0.97
910	chr1	42684497	42685011	CpG: 40	514	40	344	15.6	66.9	0.7
910	chr1	42686605	42686928	CpG: 31	323	31	209	19.2	64.7	0.93
910	chr1	42694074	42694484	CpG: 28	410	28	236	13.7	57.6	0.84
910	chr1	42694733	42695261	CpG: 44	528	44	291	16.7	55.1	1.1
910	chr1	42696574	42698657	CpG: 158	2083	158	1114	15.2	53.5	1.06
911	chr1	42851139	42851682	CpG: 36	543	36	353	13.3	65	0.63
912	chr1	42952792	42953543	CpG: 53	751	53	413	14.1	55	0.96
913	chr1	43092247	43092816	CpG: 57	569	57	306	20	53.8	1.39
913	chr1	43098480	43098954	CpG: 46	474	46	328	19.4	69.2	0.81
914	chr1	43163728	43164080	CpG: 42	352	42	256	23.9	72.7	0.91
916	chr1	43445846	43446568	CpG: 67	722	67	471	18.6	65.2	0.88
917	chr1	43553864	43554185	CpG: 22	321	22	192	13.7	59.8	0.77
919	chr1	43827314	43828135	CpG: 95	821	95	573	23.1	69.8	0.96
920	chr1	43933652	43934550	CpG: 86	898	86	594	19.2	66.1	0.88
921	chr1	44101935	44102758	CpG: 99	823	99	529	24.1	64.3	1.18
921	chr1	44147610	44148213	CpG: 58	603	58	386	19.2	64	0.95
924	chr1	44551578	44552491	CpG: 63	913	63	596	13.8	65.3	0.65
934	chr1	45795375	45795757	CpG: 47	382	47	271	24.6	70.9	1
939	chr1	46425460	46425706	CpG: 20	246	20	160	16.3	65	0.77
942	chr1	46852696	46854053	CpG: 168	1357	168	959	24.8	70.7	1
973	chr1	50927047	50928062	CpG: 77	1015	77	668	15.2	65.8	0.71
977	chr1	51478159	51478621	CpG: 48	462	48	312	20.8	67.5	0.97
981	chr1	51915183	51916194	CpG: 110	1011	110	720	21.8	71.2	0.86
982	chr1	52113708	52113995	CpG: 31	287	31	199	21.6	69.3	0.9
982	chr1	52119293	52119737	CpG: 39	444	39	297	17.6	66.9	0.79
983	chr1	52232207	52233503	CpG: 120	1296	120	785	18.5	60.6	1.01
985	chr1	52500031	52500252	CpG: 25	221	25	118	22.6	53.4	1.63
985	chr1	52500508	52500827	CpG: 36	319	36	208	22.6	65.2	1.07
986	chr1	52630541	52630942	CpG: 44	401	44	291	21.9	72.6	0.83
987	chr1	52726791	52727529	CpG: 76	738	76	470	20.6	63.7	1.02
987	chr1	52817206	52817862	CpG: 59	656	59	450	18	68.6	0.78
988	chr1	52952626	52952957	CpG: 28	331	28	235	16.9	71	0.67
991	chr1	53296788	53297379	CpG: 63	591	63	408	21.3	69	0.89
992	chr1	53352464	53352777	CpG: 33	313	33	205	21.1	65.5	0.99
994	chr1	53706523	53706879	CpG: 29	356	29	216	16.3	60.7	0.89
995	chr1	53784769	53785369	CpG: 75	600	75	411	25	68.5	1.07
998	chr1	54194342	54195242	CpG: 120	900	120	632	26.7	70.2	1.08
998	chr1	54250569	54250800	CpG: 19	231	19	150	16.5	64.9	0.78
1000	chr1	54438757	54439059	CpG: 28	302	28	190	18.5	62.9	0.94
1001	chr1	54557255	54557805	CpG: 49	550	49	362	17.8	65.8	0.83
1004	chr1	54925725	54926617	CpG: 106	892	106	627	23.8	70.3	0.99
1004	chr1	54957230	54957497	CpG: 17	267	17	151	12.7	56.6	0.8
1004	chr1	55026873	55027605	CpG: 87	732	87	490	23.8	66.9	1.06
1005	chr1	55052507	55053297	CpG: 90	790	90	542	22.8	68.6	0.98
1005	chr1	55087410	55088640	CpG: 125	1230	125	814	20.3	66.2	0.93
1005	chr1	55131057	55131773	CpG: 74	716	74	488	20.7	68.2	0.89
1006	chr1	55236985	55237816	CpG: 93	831	93	552	22.4	66.4	1.02
1007	chr1	55362481	55363657	CpG: 115	1176	115	691	19.6	58.8	1.13
1007	chr1	55405582	55406648	CpG: 109	1066	109	710	20.5	66.6	0.93
1019	chr1	56969619	56969873	CpG: 28	254	28	178	22	70.1	0.91
1019	chr1	56970858	56971119	CpG: 24	261	24	167	18.4	64	0.91
1019	chr1	56971509	56973501	CpG: 176	1992	176	1227	17.7	61.6	0.93
1019	chr1	56977104	56977392	CpG: 25	288	25	183	17.4	63.5	0.86
1022	chr1	57377474	57378019	CpG: 67	545	67	378	24.6	69.4	1.04
1022	chr1	57406137	57407067	CpG: 74	930	74	595	15.9	64	0.78
1025	chr1	57774698	57775632	CpG: 108	934	108	624	23.1	66.8	1.04
1027	chr1	57969733	57970245	CpG: 56	512	56	353	21.9	68.9	0.93
1027	chr1	57995863	57996253	CpG: 46	390	46	266	23.6	68.2	1.02
1030	chr1	58392748	58393897	CpG: 95	1149	95	637	16.5	55.4	1.09
1030	chr1	58423343	58424130	CpG: 80	787	80	488	20.3	62	1.06
1030	chr1	58445081	58445545	CpG: 31	464	31	285	13.4	61.4	0.72
1031	chr1	58504543	58505162	CpG: 65	619	65	430	21	69.5	0.87
1031	chr1	58585919	58586427	CpG: 40	508	40	328	15.7	64.6	0.88
1032	chr1	58711442	58711764	CpG: 40	322	40	223	24.8	69.3	1.04
1032	chr1	58713384	58713657	CpG: 21	273	21	165	15.4	60.4	0.84
1033	chr1	58795582	58795852	CpG: 28	270	28	183	20.7	67.8	0.91
1034	chr1	58973210	58974117	CpG: 83	907	83	627	18.3	69.1	0.77
1036	chr1	59119822	59120480	CpG: 68	658	68	460	20.7	69.9	0.85
1036	chr1	59236919	59237493	CpG: 61	574	61	391	21.3	68.1	0.92
1038	chr1	59481951	59483937	CpG: 185	1986	185	1293	18.6	65.1	0.88
1040	chr1	59670696	59670900	CpG: 20	204	20	125	19.6	61.3	1.05
1040	chr1	59684856	59685215	CpG: 35	359	35	208	19.5	57.9	1.17
1040	chr1	59762785	59764213	CpG: 142	1428	142	887	19.9	62.1	1.03
1042	chr1	59912548	59913890	CpG: 118	1342	118	772	17.6	57.5	1.08
1043	chr1	60042646	60043499	CpG: 81	853	81	491	19	57.6	1.15
1043	chr1	60098156	60098777	CpG: 62	621	62	419	20	67.5	0.88
1044	chr1	60180214	60180489	CpG: 30	275	30	196	21.8	71.3	0.86
1045	chr1	60343255	60343657	CpG: 51	402	51	291	25.4	72.4	0.97
1045	chr1	60409278	60410251	CpG: 103	973	103	604	21.2	62.1	1.1
1047	chr1	60566182	60567260	CpG: 139	1078	139	814	25.8	75.5	0.92
1055	chr1	61638736	61639406	CpG: 78	670	78	485	23.3	72.4	0.89
1063	chr1	62702838	62703748	CpG: 86	910	86	589	18.9	64.7	0.9
1063	chr1	62705850	62707032	CpG: 88	1182	88	720	14.9	60.9	0.8
1066	chr1	63113485	63114349	CpG: 77	864	77	479	17.8	55.4	1.16
1067	chr1	63248289	63248615	CpG: 44	326	44	230	27	70.6	1.12
1067	chr1	63273063	63273913	CpG: 90	850	90	481	21.2	56.6	1.35
1068	chr1	63365284	63365489	CpG: 17	205	17	133	16.6	64.9	0.79
1069	chr1	63445715	63446529	CpG: 95	814	95	569	23.3	69.9	0.96
1074	chr1	64121613	64122142	CpG: 56	529	56	363	21.2	68.6	0.92
1077	chr1	64532367	64533738	CpG: 131	1371	131	831	19.1	60.6	1.04
1077	chr1	64616945	64617792	CpG: 83	847	83	564	19.6	66.6	0.88
1078	chr1	64690534	64691585	CpG: 108	1051	108	645	20.6	61.4	1.1
1078	chr1	64734847	64737979	CpG: 241	3132	241	1970	15.4	62.9	0.78
1080	chr1	64956498	64956870	CpG: 41	372	41	264	22	71	0.89
1080	chr1	64994405	64994627	CpG: 21	222	21	139	18.9	62.6	0.97
1082	chr1	65178904	65179373	CpG: 38	469	38	307	16.2	65.5	0.76
1082	chr1	65186379	65187053	CpG: 59	674	59	399	17.5	59.2	1.03
1089	chr1	66175311	66175645	CpG: 29	334	29	222	17.4	66.5	0.79
1092	chr1	66468022	66468623	CpG: 68	601	68	435	22.6	72.4	0.87
1093	chr1	66677401	66677639	CpG: 17	238	17	141	14.3	59.2	0.83
1093	chr1	66700752	66701351	CpG: 60	599	60	407	20	67.9	0.87
1094	chr1	66816436	66817867	CpG: 132	1431	132	894	18.4	62.5	0.97
1095	chr1	66862839	66863146	CpG: 31	307	31	214	20.2	69.7	0.83
1096	chr1	67038520	67038937	CpG: 42	417	42	276	20.1	66.2	0.92
1112	chr1	69107034	69108055	CpG: 91	1021	91	682	17.8	66.8	0.8
1114	chr1	69376995	69377218	CpG: 16	223	16	146	14.3	65.5	0.67
1114	chr1	69377803	69378045	CpG: 20	242	20	158	16.5	65.3	0.78
1117	chr1	69826863	69827202	CpG: 35	339	35	238	20.6	70.2	0.87
1127	chr1	71102404	71103220	CpG: 72	816	72	532	17.6	65.2	0.84
1130	chr1	71556948	71557367	CpG: 40	419	40	299	19.1	71.4	0.76
1131	chr1	71652697	71653358	CpG: 58	661	58	441	17.5	66.7	0.79
1135	chr1	72211749	72212422	CpG: 65	673	65	401	19.3	59.6	1.1
1136	chr1	72225934	72226218	CpG: 31	284	31	187	21.8	65.8	1.12
1136	chr1	72236403	72236924	CpG: 48	521	48	329	18.4	63.1	0.93
1136	chr1	72243822	72244197	CpG: 39	375	39	241	20.8	64.3	1.09
1136	chr1	72254745	72254986	CpG: 25	241	25	156	20.7	64.7	1.08
1138	chr1	72536152	72536389	CpG: 22	237	22	165	18.6	69.6	0.77
1138	chr1	72536961	72537217	CpG: 22	256	22	177	17.2	69.1	0.72
1139	chr1	72640793	72641380	CpG: 46	587	46	321	15.7	54.7	1.05
1139	chr1	72710861	72711718	CpG: 72	857	72	486	16.8	56.7	1.05
1140	chr1	72824693	72824937	CpG: 32	244	32	177	26.2	72.5	1
1140	chr1	72825362	72825653	CpG: 20	291	20	176	13.7	60.5	0.78
1140	chr1	72873698	72873966	CpG: 27	268	27	181	20.1	67.5	0.91
1148	chr1	73907271	73907503	CpG: 27	232	27	144	23.3	62.1	1.29
1149	chr1	74036952	74037248	CpG: 29	296	29	215	19.6	72.6	0.74
1150	chr1	74068492	74068975	CpG: 35	483	35	325	14.5	67.3	0.64
1150	chr1	74098213	74098786	CpG: 48	573	48	391	16.8	68.2	0.72
1150	chr1	74124244	74124923	CpG: 65	679	65	436	19.1	64.2	0.94
1151	chr1	74236580	74237193	CpG: 52	613	52	379	17	61.8	0.9
1151	chr1	74284463	74285135	CpG: 61	672	61	434	18.2	64.6	0.87
1151	chr1	74303866	74304355	CpG: 50	489	50	324	20.4	66.3	0.94
1152	chr1	74332449	74332824	CpG: 38	375	38	264	20.3	70.4	0.82
1152	chr1	74391332	74392430	CpG: 93	1098	93	635	16.9	57.8	1.02
1153	chr1	74505461	74506819	CpG: 112	1358	112	841	16.5	61.9	0.86
1154	chr1	74587633	74588472	CpG: 62	839	62	535	14.8	63.8	0.73
1154	chr1	74601094	74601459	CpG: 27	365	27	219	14.8	60	0.84
1154	chr1	74661672	74662164	CpG: 56	492	56	347	22.8	70.5	0.92
1155	chr1	74713618	74713831	CpG: 20	213	20	150	18.8	70.4	0.76
1155	chr1	74748732	74749045	CpG: 25	313	25	209	16	66.8	0.72
1155	chr1	74771686	74772209	CpG: 55	523	55	342	21	65.4	1.06
1155	chr1	74782669	74783024	CpG: 24	355	24	216	13.5	60.8	0.78
1155	chr1	74784035	74784616	CpG: 67	581	67	401	23.1	69	0.98
1155	chr1	74791733	74792242	CpG: 44	509	44	376	17.3	73.9	0.65
1155	chr1	74800537	74800744	CpG: 22	207	22	134	21.3	64.7	1.02
1155	chr1	74803204	74803609	CpG: 43	405	43	279	21.2	68.9	0.9
1155	chr1	74816944	74817187	CpG: 25	243	25	167	20.6	68.7	0.89
1156	chr1	74854859	74856469	CpG: 149	1610	149	985	18.5	61.2	0.99
1156	chr1	74858468	74858684	CpG: 16	216	16	134	14.8	62	0.85
1156	chr1	74881947	74882612	CpG: 60	665	60	394	18	59.2	1.04
1156	chr1	74884301	74885613	CpG: 95	1312	95	848	14.5	64.6	0.69
1156	chr1	74892725	74893136	CpG: 33	411	33	262	16.1	63.7	0.79
1156	chr1	74900555	74900984	CpG: 48	429	48	303	22.4	70.6	0.9
1156	chr1	74950631	74952093	CpG: 126	1462	126	918	17.2	62.8	0.88
1158	chr1	75124739	75125149	CpG: 38	410	38	256	18.5	62.4	0.98
1158	chr1	75141432	75143190	CpG: 132	1758	132	1027	15	58.4	0.88
1158	chr1	75168558	75168942	CpG: 42	384	42	274	21.9	71.4	0.88
1158	chr1	75210804	75211065	CpG: 27	261	27	178	20.7	68.2	0.9
1158	chr1	75219212	75219982	CpG: 66	770	66	488	17.1	63.4	0.85
1159	chr1	75236419	75236960	CpG: 47	541	47	362	17.4	66.9	0.78
1159	chr1	75251753	75251964	CpG: 17	211	17	136	16.1	64.5	0.78
1159	chr1	75317105	75318069	CpG: 98	964	98	663	20.3	68.8	0.93
1159	chr1	75360355	75360970	CpG: 71	615	71	422	23.1	68.6	0.98
1160	chr1	75369572	75369788	CpG: 17	216	17	119	15.7	55.1	1.05
1160	chr1	75375225	75375786	CpG: 47	561	47	394	16.8	70.2	0.68
1160	chr1	75381924	75382387	CpG: 36	463	36	286	15.6	61.8	0.82
1160	chr1	75384918	75385180	CpG: 21	262	21	177	16	67.6	0.71
1160	chr1	75387985	75389104	CpG: 107	1119	107	775	19.1	69.3	0.8
1160	chr1	75421988	75423440	CpG: 120	1452	120	998	16.5	68.7	0.7
1160	chr1	75450376	75450680	CpG: 22	304	22	181	14.5	59.5	0.87
1160	chr1	75458558	75458772	CpG: 20	214	20	150	18.7	70.1	0.82
1160	chr1	75475043	75475252	CpG: 16	209	16	135	15.3	64.6	0.74
1160	chr1	75475918	75476150	CpG: 20	232	20	147	17.2	63.4	0.86
1160	chr1	75478669	75479786	CpG: 117	1117	117	824	20.9	73.8	0.77
1160	chr1	75482645	75483019	CpG: 27	374	27	253	14.4	67.6	0.63
1160	chr1	75486710	75486948	CpG: 20	238	20	151	16.8	63.4	0.84
1160	chr1	75487636	75488078	CpG: 50	442	50	299	22.6	67.6	0.99
1161	chr1	75503722	75503961	CpG: 21	239	21	147	17.6	61.5	0.94
1161	chr1	75505201	75506384	CpG: 138	1183	138	835	23.3	70.6	0.94
1161	chr1	75521431	75521985	CpG: 43	554	43	326	15.5	58.8	0.9
1161	chr1	75546264	75546756	CpG: 54	492	54	369	22	75	0.79
1176	chr1	77514349	77515453	CpG: 77	1104	77	672	13.9	60.9	0.76
1181	chr1	78189565	78189829	CpG: 26	264	26	166	19.7	62.9	1.03
1181	chr1	78196631	78197287	CpG: 49	656	49	414	14.9	63.1	0.75
1181	chr1	78203836	78204189	CpG: 25	353	25	200	14.2	56.7	0.96
1181	chr1	78215957	78216242	CpG: 23	285	23	164	16.1	57.5	0.98
1181	chr1	78216544	78217797	CpG: 113	1253	113	744	18	59.4	1.02
1182	chr1	78310063	78310738	CpG: 68	675	68	467	20.1	69.2	0.85
1183	chr1	78488483	78488916	CpG: 43	433	43	284	19.9	65.6	0.92
1183	chr1	78511827	78512070	CpG: 20	243	20	158	16.5	65	0.8
1185	chr1	78657622	78658549	CpG: 117	927	117	681	25.2	73.5	0.95
1192	chr1	79671574	79671937	CpG: 33	363	33	244	18.2	67.2	0.81
1193	chr1	79761251	79761833	CpG: 61	582	61	399	21	68.6	0.89
1193	chr1	79775983	79776386	CpG: 37	403	37	266	18.4	66	0.84
1194	chr1	79858193	79859006	CpG: 90	813	90	533	22.1	65.6	1.03
1201	chr1	80758071	80758785	CpG: 78	714	78	502	21.8	70.3	0.89
1212	chr1	82283183	82283558	CpG: 30	375	30	254	16	67.7	0.7
1212	chr1	82290195	82291822	CpG: 127	1627	127	957	15.6	58.8	0.91
1213	chr1	82316445	82316916	CpG: 56	471	56	319	23.8	67.7	1.06
1216	chr1	82724792	82725181	CpG: 43	389	43	269	22.1	69.2	0.94
1217	chr1	82839328	82840320	CpG: 109	992	109	705	22	71.1	0.88
1228	chr1	84284316	84284612	CpG: 31	296	31	208	20.9	70.3	0.86
1231	chr1	84695498	84695745	CpG: 27	247	27	160	21.9	64.8	1.06
1232	chr1	84838454	84840300	CpG: 159	1846	159	1198	17.2	64.9	0.88
